5,five,5
5,4,1
5,four,1
5,true,1
5,yes,1
5,no,1
5,false,1
5,Hydrogen,1
5,hydrogen,1
5,Carbon,1
5,carbon,1
5,carbon,1
5,carbon and hydrogen,1
5,hydrogen and carbon,1
5,bond,1
5,covalent bonds,1
5,human activity,1
5,careless human activity,1
5,heat,1
5,thermal energy,1
5,atom nucleus,1
5,the nucleus,1
5,nuclear,1
5,medulla,1
5,reproduce asexually and sexually,1
5,reproduce sexually and asexually,1
5,2 hour,1
5,2 hours,1
5,right,1
5,correct,1
five,4,1
five,four,1
five,true,1
five,yes,1
five,no,1
five,false,1
five,Hydrogen,1
five,hydrogen,1
five,Carbon,1
five,carbon,1
five,carbon,1
five,carbon and hydrogen,1
five,hydrogen and carbon,1
five,bond,1
five,covalent bonds,1
five,human activity,1
five,careless human activity,1
five,heat,1
five,thermal energy,1
five,atom nucleus,1
five,the nucleus,1
five,nuclear,1
five,medulla,1
five,reproduce asexually and sexually,1
five,reproduce sexually and asexually,1
five,2 hour,1
five,2 hours,1
five,right,1
five,correct,1
4,four,5
4,true,1
4,yes,1
4,no,1
4,false,1
4,Hydrogen,1
4,hydrogen,1
4,Carbon,1
4,carbon,1
4,carbon,1
4,carbon and hydrogen,1
4,hydrogen and carbon,1
4,bond,1
4,covalent bonds,1
4,human activity,1
4,careless human activity,1
4,heat,1
4,thermal energy,1
4,atom nucleus,1
4,the nucleus,1
4,nuclear,1
4,medulla,1
4,reproduce asexually and sexually,1
4,reproduce sexually and asexually,1
4,2 hour,1
4,2 hours,1
4,right,1
4,correct,1
four,true,1
four,yes,1
four,no,1
four,false,1
four,Hydrogen,1
four,hydrogen,1
four,Carbon,1
four,carbon,1
four,carbon,1
four,carbon and hydrogen,1
four,hydrogen and carbon,1
four,bond,1
four,covalent bonds,1
four,human activity,1
four,careless human activity,1
four,heat,1
four,thermal energy,1
four,atom nucleus,1
four,the nucleus,1
four,nuclear,1
four,medulla,1
four,reproduce asexually and sexually,1
four,reproduce sexually and asexually,1
four,2 hour,1
four,2 hours,1
four,right,1
four,correct,1
true,yes,5
true,no,1
true,false,1
true,Hydrogen,1
true,hydrogen,1
true,Carbon,1
true,carbon,1
true,carbon,1
true,carbon and hydrogen,1
