Qualtrics ID,QID,Question,Answer
Q2,49,What broad group of animals are the first true tetrapods?,amphibians
Q3,18,On what day of the cycle does ovulation usually occur?,14th
Q4,111,"Despite what _____ philosophies of child-rearing suggest, there is no imperative that the day-to-day action of raising a child be simple, unambiguous and unchanging-no requirement, in other words, ensures that life follow philosophy.",systematic
Q5,6,What is the most abundant metal of the earth's crust?,aluminum
Q6,51,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
Q10,21,What living species of bird is considered the largest of the raptors?,golden eagles
Q12,82,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
Q17,113,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
Q20,41,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head
Q21,55,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).","iv, i, iii, v, ii"
Q22,37,What are the hormones that cause a plant to grow?,gibberellins
Q23,52,What is the correct method for saving someone from choking?,Five back blows followed by five abdominal thrusts if necessary
Q25,58,What is a symptom of a heatstroke?,"Rapid strong pulse, hallucinations, throbbing headache, and high body temperature"
Q27,11,Organisms that live deep in the ocean must be able to withstand what?,extreme water pressure
Q28,64,How long can high-acid canned food such as tomatoes be stored?,12 to 18 months
Q29,14,"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",abiotic factors
Q30,88,What should you do if you are unable to evacuate a burning building?,Stay low under the smoke
Q31,84,To what does the acronym SLM refer?,Sound Level Meter
Q32,103,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,prodigious
Q33,90,True or false: the primary function of a fire door is to exit a building in case of fire.,FALSE
Q34,32,How often should women perform a breast self-exam?,monthly
Q37,31,What are the little sacs at the end of the bronchioles called?,alveoli
Q38,44,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,birds
Q40,45,"When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?",diameter
Q42,76,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
Q44,53,What should you NOT do while treating cuts and scrapes?,Wash the wound with soap
Q46,5,Most insects reproduce quickly and through what type of reproduction?,sexual reproduction
Q47,15,"Although magma once filled our moon's craters, what is thought to have ended there over a billion years ago?",volcanic activity
Q50,27,The lithosphere is divided into a dozen major and several minor what?,plates
Q51,65,What does CERT stand for?,Community Emergency Response Team
Q52,35,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis
Q58,46,What are classified by climatic factors and types of primary producers?,terrestrial biomes
Q60,79,True or false: portable fire extinguishers should only be used by trained employees.,TRUE
