Qualtrics ID,QID,Question,Answer
6,51,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
10,21,What living species of bird is considered the largest of the raptors?,golden eagles
12,82,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
14,135,"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",appraisal
17,113,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
20,41,The sternocleidomastoid is the major muscle that laterally flexes and rotates what?,head
21,55,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).","iv, i, iii, v, ii"
22,37,What are the hormones that cause a plant to grow?,gibberellins
31,84,To what does the acronym SLM refer?,Sound Level Meter
32,103,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,prodigious
33,90,True or false: the primary function of a fire door is to exit a building in case of fire.,FALSE
34,32,How often should women perform a breast self-exam?,monthly
35,117,"Possessing few natural resources upon its newly-granted independence in 1863, Singapore remained economically _____ until an influx of industrialization and foreign investment took hold there.",dubious
38,44,What broad animal group is thought to have evolved from theropod dinosaurs around 150 million years ago?,birds
41,42,"What arises due to crossing over, independent assortment, and the random union of gametes?",genetic variation
42,76,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
43,104,Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .,stolidity
44,53,What should you NOT do while treating cuts and scrapes?,Wash the wound with soap
50,27,The lithosphere is divided into a dozen major and several minor what?,plates
52,35,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis
54,125,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",enervation
55,127,While she may have answered him truthfully - in the strictest sense of the word - it became clear to Sergei after the incident that Sheryl had actually been trying to _____ .,obfuscate
58,46,What are classified by climatic factors and types of primary producers?,terrestrial biomes
59,75,True or false: individuals who are lactose-intolerant can consume pasteurized milk without negative side effects.,FALSE
60,79,True or false: portable fire extinguishers should only be used by trained employees.,TRUE
