user_id	qid	question_time	answer	score	answer_time
1139924072777403	69	2018-05-05 18:28:12	BUTTON_AKB_notochord	3	2018-05-05 18:28:17
1139924072777403	2	2018-05-05 18:27:59	BUTTON_GIVEUP_YES	0	2018-05-05 18:28:05
1139924072777403	245	2018-05-05 18:11:34	BUTTON_DKB_It does kill harmful bacteria	0	2018-05-05 18:27:57
1139924072777403	64	2018-05-05 18:11:22	BUTTON_DKB	0	2018-05-05 18:11:27
1139924072777403	113	2018-05-05 18:11:14	BUTTON_AKB	3	2018-05-05 18:11:20
1139924072777403	5	2018-05-05 18:07:52	BUTTON_AKB	3	2018-05-05 18:09:40
1139924072777403	75	2018-05-05 18:07:38	BUTTON_GIVEUP_YES	0	2018-05-05 18:07:45
1139924072777403	59	2018-04-03 17:53:48	hi	1	2018-05-02 23:16:08
1139924072777403	101	2018-04-03 17:53:00	sunlight	4	2018-04-03 17:53:07
1139924072777403	108	2018-04-03 17:52:26	AKB	3	2018-04-03 17:52:56
1139924072777403	225	2018-03-29 03:39:20	GIVEUP_YES	0	2018-03-29 03:39:46
1139924072777403	241	2018-03-29 03:39:01	DKB	0	2018-03-29 03:39:14
1139924072777403	183	2018-03-21 18:58:59	AKB	3	2018-03-21 18:59:08
1139924072777403	184	2018-03-15 01:50:11	GIVEUP_YES	0	2018-03-16 22:22:22
1139924072777403	188	2018-03-15 01:49:32	DKB	0	2018-03-15 01:49:57
1139924072777403	175	2018-03-15 01:48:59	test	-1	2018-03-15 01:49:15
1139924072777403	167	2018-03-07 23:28:34	next question	0	2018-03-07 23:28:36
1139924072777403	167	2018-03-07 23:28:34	next question	0	2018-03-07 23:28:35
1139924072777403	41	2018-03-07 23:28:34	next question	4	2018-03-07 23:28:35
1139924072777403	41	2018-03-07 23:28:34	next question	4	2018-03-07 23:28:35
